flags,intent,utterance,category,input_ids,attention_mask,labels
BL,recover_password,I need help to recover the PIN code of my account,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 8980, 1996, 9231, 3642, 1997, 2026, 4070, 102]"
BEL,create_account,I do not know how to open a different account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 2000, 2330, 1037, 2367, 4070, 102]"
BI,place_order,can you help me making a purchase?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 2437, 1037, 5309, 1029, 102]"
BL,delete_account,tell me more about a standard account removal,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 2425, 2033, 2062, 2055, 1037, 3115, 4070, 8208, 102]"
BI,change_shipping_address,how to change the shipping address?,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2000, 2689, 1996, 7829, 4769, 1029, 102]"
BIMP,cancel_order,would you give me information about order cancellations?,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2052, 2017, 2507, 2033, 2592, 2055, 2344, 16990, 2015, 1029, 102]"
BL,newsletter_subscription,I want to cancel the subscription to your newsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2000, 17542, 1996, 15002, 2000, 2115, 17178, 102]"
BIP,delivery_period,could I check how soon can I expect the delivery?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2071, 1045, 4638, 2129, 2574, 2064, 1045, 5987, 1996, 6959, 1029, 102]"
BIP,complaint,could I file a complaint against your business?,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 2071, 1045, 5371, 1037, 12087, 2114, 2115, 2449, 1029, 102]"
BI,get_refund,what do I have to do to get my money back?,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2054, 2079, 1045, 2031, 2000, 2079, 2000, 2131, 2026, 2769, 2067, 1029, 102]"
BM,cancel_order,I have problems with cancelling the last order I have made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 3471, 2007, 17542, 2989, 1996, 2197, 2344, 1045, 2031, 2081, 102]"
BM,place_order,assistance buying some of your item,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 5375, 9343, 2070, 1997, 2115, 8875, 102]"
B,newsletter_subscription,I want help to subscribe to your company newsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2000, 4942, 29234, 2000, 2115, 2194, 17178, 102]"
BI,set_up_shipping_address,how can I set a new shipping address up?,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 2275, 1037, 2047, 7829, 4769, 2039, 1029, 102]"
BIMP,check_cancellation_fee,could you help me to check the cancellation fees?,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2000, 4638, 1996, 16990, 9883, 1029, 102]"
BI,track_order,where is my order?,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2003, 2026, 2344, 1029, 102]"
BL,recover_password,help me restore my password,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 9239, 2026, 20786, 102]"
BIM,delivery_options,how can I check what options for delivery you offer?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 4638, 2054, 7047, 2005, 6959, 2017, 3749, 1029, 102]"
BM,delete_account,I need information about user account deletions,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2592, 2055, 5310, 4070, 3972, 20624, 5644, 102]"
BILQ,newsletter_subscription,can uhelp me signing up to the newsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2064, 7910, 2884, 2361, 2033, 6608, 2039, 2000, 1996, 17178, 102]"
BM,delivery_options,assistance checking what delivery options I can choose,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 5375, 9361, 2054, 6959, 7047, 1045, 2064, 5454, 102]"
B,change_order,help me remove an item from an order,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 6366, 2019, 8875, 2013, 2019, 2344, 102]"
B,cancel_order,help me canceling an order I made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 17542, 2075, 2019, 2344, 1045, 2081, 102]"
B,complaint,I have to file a complaint against your business,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 1045, 2031, 2000, 5371, 1037, 12087, 2114, 2115, 2449, 102]"
BILZ,switch_account,can I changew to another profile?,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2064, 1045, 2689, 2860, 2000, 2178, 6337, 1029, 102]"
BIM,check_cancellation_fee,what do I need to do to check the cancellation fees?,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2054, 2079, 1045, 2342, 2000, 2079, 2000, 4638, 1996, 16990, 9883, 1029, 102]"
BL,edit_account,help me change the information on my account,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 2689, 1996, 2592, 2006, 2026, 4070, 102]"
BI,check_invoice,what do I need to do to check the invoice from last month?,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2054, 2079, 1045, 2342, 2000, 2079, 2000, 4638, 1996, 1999, 6767, 6610, 2013, 2197, 3204, 1029, 102]"
BELQ,recover_password,i do not know how i can reset my user account key,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 25141, 2026, 5310, 4070, 3145, 102]"
BM,check_invoice,I want to check the invoice from 9 months ago,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2000, 4638, 1996, 1999, 6767, 6610, 2013, 1023, 2706, 3283, 102]"
B,change_shipping_address,I put the old address by mistake,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2404, 1996, 2214, 4769, 2011, 6707, 102]"
BM,check_invoice,I want help to find the invoices from last month,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2000, 2424, 1996, 1999, 6767, 23522, 2013, 2197, 3204, 102]"
BELZ,check_payment_methods,I do no know what to do to list your payment methods,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2053, 2113, 2054, 2000, 2079, 2000, 2862, 2115, 7909, 4725, 102]"
B,track_refund,show me the refund status,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2265, 2033, 1996, 25416, 8630, 3570, 102]"
BM,track_refund,help me checking if there is any updates on my refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 9361, 2065, 2045, 2003, 2151, 14409, 2006, 2026, 25416, 8630, 102]"
BELQ,recover_password,i do not know what i have to do to recover my pin code,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 1045, 2031, 2000, 2079, 2000, 8980, 2026, 9231, 3642, 102]"
BCILPQZ,newsletter_subscription,i have got to subscribe to ur newsletter will  uhelp me,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2288, 2000, 4942, 29234, 2000, 24471, 17178, 2097, 7910, 2884, 2361, 2033, 102]"
BI,newsletter_subscription,can you help me to subscribe to your company newsletter?,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 2000, 4942, 29234, 2000, 2115, 2194, 17178, 1029, 102]"
BIM,delivery_options,can you help me check what delivery options I can choose?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 4638, 2054, 6959, 7047, 1045, 2064, 5454, 1029, 102]"
B,check_invoice,I need to check the invoice from February,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2000, 4638, 1996, 1999, 6767, 6610, 2013, 2337, 102]"
BE,set_up_shipping_address,I do not know what to do to set another shipping address up,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 2000, 2079, 2000, 2275, 2178, 7829, 4769, 2039, 102]"
BI,create_account,can I register?,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2064, 1045, 4236, 1029, 102]"
B,change_shipping_address,assistance to change my shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 5375, 2000, 2689, 2026, 7829, 4769, 102]"
BIM,place_order,where do I buy several of your item?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2079, 1045, 4965, 2195, 1997, 2115, 8875, 1029, 102]"
B,set_up_shipping_address,assistance to set another shipping address up,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 5375, 2000, 2275, 2178, 7829, 4769, 2039, 102]"
B,check_refund_policy,I am trying to check in what cases can I ask for refunds,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2572, 2667, 2000, 4638, 1999, 2054, 3572, 2064, 1045, 3198, 2005, 25416, 26698, 102]"
BM,place_order,I am trying to buy several items,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2572, 2667, 2000, 4965, 2195, 5167, 102]"
BI,track_refund,can you help me checking the status of my refund?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 9361, 1996, 3570, 1997, 2026, 25416, 8630, 1029, 102]"
B,get_refund,I don't know what I have to do to get a refund,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 1045, 2031, 2000, 2079, 2000, 2131, 1037, 25416, 8630, 102]"
B,cancel_order,I have a problem with canceling the last order I have made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 1037, 3291, 2007, 17542, 2075, 1996, 2197, 2344, 1045, 2031, 2081, 102]"
B,track_order,I need assistance to check the status of my order,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 4638, 1996, 3570, 1997, 2026, 2344, 102]"
BIL,registration_problems,where do I notify of a sign-up error?,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2079, 1045, 2025, 8757, 1997, 1037, 3696, 1011, 2039, 7561, 1029, 102]"
B,change_order,I have a problem with changing the order I have made,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 1037, 3291, 2007, 5278, 1996, 2344, 1045, 2031, 2081, 102]"
BI,track_refund,where do I check if there is anything wrong with my refund?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2073, 2079, 1045, 4638, 2065, 2045, 2003, 2505, 3308, 2007, 2026, 25416, 8630, 1029, 102]"
BI,check_refund_policy,can you help me checking how long refunds usually take?,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 9361, 2129, 2146, 25416, 26698, 2788, 2202, 1029, 102]"
BW,switch_account,help me to use another bloody account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 2000, 2224, 2178, 6703, 4070, 102]"
BIMP,get_invoice,would it be possible to get the invoices from last month?,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2052, 2009, 2022, 2825, 2000, 2131, 1996, 1999, 6767, 23522, 2013, 2197, 3204, 1029, 102]"
BM,change_order,help me removing several items,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 9268, 2195, 5167, 102]"
BCEILQZ,contact_human_agent,ay are not being helpful can i speak with a live agent,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1037, 2100, 2024, 2025, 2108, 14044, 2064, 1045, 3713, 2007, 1037, 2444, 4005, 102]"
B,get_refund,I want help getting my money back,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2893, 2026, 2769, 2067, 102]"
BE,delete_account,I do not know how I can delete an account,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 3972, 12870, 2019, 4070, 102]"
BIL,newsletter_subscription,can you help me to subscribe to your corporate newsletter?,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 2000, 4942, 29234, 2000, 2115, 5971, 17178, 1029, 102]"
BI,delivery_period,how can I check how long the delivery takes?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 4638, 2129, 2146, 1996, 6959, 3138, 1029, 102]"
BMP,delivery_options,I would like to check what delivery options I have,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2052, 2066, 2000, 4638, 2054, 6959, 7047, 1045, 2031, 102]"
BILQ,edit_account,is it possible to edit the info included on my account?,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 10086, 1996, 18558, 2443, 2006, 2026, 4070, 1029, 102]"
BILP,newsletter_subscription,could you help me subscribing to the company newsletter?,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 4942, 11020, 3089, 10472, 2000, 1996, 2194, 17178, 1029, 102]"
BI,delivery_period,can you tell me about delivery period?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2425, 2033, 2055, 6959, 2558, 1029, 102]"
BLMZ,check_cancellation_fee,I try to see ther cancellation penalties,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 2156, 1996, 2099, 16990, 12408, 102]"
BM,place_order,I don't know how to buy several of your item,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 2000, 4965, 2195, 1997, 2115, 8875, 102]"
BI,track_refund,what do I need to do to check the status of the refund?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2054, 2079, 1045, 2342, 2000, 2079, 2000, 4638, 1996, 3570, 1997, 1996, 25416, 8630, 1029, 102]"
B,delivery_options,tell me about the options for delivery,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2425, 2033, 2055, 1996, 7047, 2005, 6959, 102]"
BEL,contact_customer_service,I do not know how to speak with customer service,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 2000, 3713, 2007, 8013, 2326, 102]"
BL,recover_password,question about my key reset,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 3160, 2055, 2026, 3145, 25141, 102]"
BIM,get_invoice,how to get the invoices from March?,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2000, 2131, 1996, 1999, 6767, 23522, 2013, 2233, 1029, 102]"
BLZ,check_cancellation_fee,I need  assistance to see the termination penalty,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 2156, 1996, 18287, 6531, 102]"
B,delete_account,help deleting the account,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 2393, 3972, 20624, 3070, 1996, 4070, 102]"
BI,newsletter_subscription,how can I subscribe to your company newsletter?,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 4942, 29234, 2000, 2115, 2194, 17178, 1029, 102]"
B,change_order,I want help to add something,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2000, 5587, 2242, 102]"
BILQ,create_account,can uhelp me to open a new account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2064, 7910, 2884, 2361, 2033, 2000, 2330, 1037, 2047, 4070, 102]"
B,change_shipping_address,I can't change my shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2064, 1005, 1056, 2689, 2026, 7829, 4769, 102]"
BM,check_invoice,I need assistance checking the invoice from four months ago,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 9361, 1996, 1999, 6767, 6610, 2013, 2176, 2706, 3283, 102]"
BE,get_refund,I do not know how I can get a refund,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 2131, 1037, 25416, 8630, 102]"
BI,edit_account,what do I have to do to edit my account?,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2054, 2079, 1045, 2031, 2000, 2079, 2000, 10086, 2026, 4070, 1029, 102]"
BILQ,newsletter_subscription,can uhelp me cancel my subscription to ur newsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2064, 7910, 2884, 2361, 2033, 17542, 2026, 15002, 2000, 24471, 17178, 102]"
BIP,review,how could I leave a review for your services?,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 2129, 2071, 1045, 2681, 1037, 3319, 2005, 2115, 2578, 1029, 102]"
BKL,switch_account,switching to new profile,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 11991, 2000, 2047, 6337, 102]"
B,complaint,I don't know what I need to do to file a complaint,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 1045, 2342, 2000, 2079, 2000, 5371, 1037, 12087, 102]"
BM,payment_issue,I need help solving payment issues,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 13729, 7909, 3314, 102]"
BM,payment_issue,I want help to report issues with payment,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2000, 3189, 3314, 2007, 7909, 102]"
B,review,help me leaving a review for your company,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 2393, 2033, 2975, 1037, 3319, 2005, 2115, 2194, 102]"
BEL,delete_account,I do not know how I can cancel an online account,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 17542, 2019, 3784, 4070, 102]"
BI,newsletter_subscription,how do I cancel the company newsletter subscription?,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2079, 1045, 17542, 1996, 2194, 17178, 15002, 1029, 102]"
B,get_refund,when can I expect a refund,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2043, 2064, 1045, 5987, 1037, 25416, 8630, 102]"
BEL,check_payment_methods,I do not know how to check the payment options,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 2000, 4638, 1996, 7909, 7047, 102]"
BILQ,check_cancellation_fee,is it possible to see the early termination penalty,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 2156, 1996, 2220, 18287, 6531, 102]"
BIM,get_refund,where to get refunds of money?,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2073, 2000, 2131, 25416, 26698, 1997, 2769, 1029, 102]"
BIP,track_order,could you help me checking the status of my order?,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 9361, 1996, 3570, 1997, 2026, 2344, 1029, 102]"
BE,registration_problems,I do not know how to report a registration issue,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 2000, 3189, 1037, 8819, 3277, 102]"
B,edit_account,I need assistance to edit my personal information,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 10086, 2026, 3167, 2592, 102]"
BM,place_order,help me buying several items,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2033, 9343, 2195, 5167, 102]"
B,newsletter_subscription,help cancelling the subscription to your company newsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2393, 17542, 2989, 1996, 15002, 2000, 2115, 2194, 17178, 102]"
BEP,payment_issue,I do not know how I could report an issue with payment,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2071, 3189, 2019, 3277, 2007, 7909, 102]"
BIP,track_refund,could you help me track the refund?,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2650, 1996, 25416, 8630, 1029, 102]"
BMP,payment_issue,I don't know how I could report issues with payment,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 1045, 2071, 3189, 3314, 2007, 7909, 102]"
B,check_refund_policy,help me check in what cases can I ask to be refunded,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 4638, 1999, 2054, 3572, 2064, 1045, 3198, 2000, 2022, 25416, 8630, 2098, 102]"
